,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1,3,0,22.0,1,0,7.25,1
1,2,1,1,38.0,1,0,71.2833,2
2,3,3,1,26.0,0,0,7.925,1
3,4,1,1,35.0,1,0,53.1,1
4,5,3,0,35.0,0,0,8.05,1
5,6,3,0,29.0,0,0,8.4583,3
6,7,1,0,54.0,0,0,51.8625,1
7,8,3,0,2.0,3,1,21.075,1
8,9,3,1,27.0,0,2,11.1333,1
9,10,2,1,14.0,1,0,30.0708,2
10,11,3,1,4.0,1,1,16.7,1
11,12,1,1,58.0,0,0,26.55,1
12,13,3,0,20.0,0,0,8.05,1
13,14,3,0,39.0,1,5,31.275,1
14,15,3,1,14.0,0,0,7.8542,1
15,16,2,1,55.0,0,0,16.0,1
16,17,3,0,2.0,4,1,29.125,3
17,18,2,0,29.0,0,0,13.0,1
18,19,3,1,31.0,1,0,18.0,1
19,20,3,1,27.0,0,0,7.225,2
20,21,2,0,35.0,0,0,26.0,1
21,22,2,0,34.0,0,0,13.0,1
22,23,3,1,15.0,0,0,8.0292,3
23,24,1,0,28.0,0,0,35.5,1
24,25,3,1,8.0,3,1,21.075,1
25,26,3,1,38.0,1,5,31.3875,1
26,27,3,0,29.0,0,0,7.225,2
27,28,1,0,19.0,3,2,263.0,1
28,29,3,1,27.0,0,0,7.8792,3
29,30,3,0,29.0,0,0,7.8958,1
30,31,1,0,40.0,0,0,27.7208,2
31,32,1,1,27.0,1,0,146.5208,2
32,33,3,1,27.0,0,0,7.75,3
33,34,2,0,66.0,0,0,10.5,1
34,35,1,0,28.0,1,0,82.1708,2
35,36,1,0,42.0,1,0,52.0,1
36,37,3,0,29.0,0,0,7.2292,2
37,38,3,0,21.0,0,0,8.05,1
38,39,3,1,18.0,2,0,18.0,1
39,40,3,1,14.0,1,0,11.2417,2
40,41,3,1,40.0,1,0,9.475,1
41,42,2,1,27.0,1,0,21.0,1
42,43,3,0,29.0,0,0,7.8958,2
43,44,2,1,3.0,1,2,41.5792,2
44,45,3,1,19.0,0,0,7.8792,3
45,46,3,0,29.0,0,0,8.05,1
46,47,3,0,29.0,1,0,15.5,3
47,48,3,1,27.0,0,0,7.75,3
48,49,3,0,29.0,2,0,21.6792,2
49,50,3,1,18.0,1,0,17.8,1
50,51,3,0,7.0,4,1,39.6875,1
51,52,3,0,21.0,0,0,7.8,1
52,53,1,1,49.0,1,0,76.7292,2
53,54,2,1,29.0,1,0,26.0,1
54,55,1,0,65.0,0,1,61.9792,2
55,56,1,0,29.0,0,0,35.5,1
56,57,2,1,21.0,0,0,10.5,1
57,58,3,0,28.5,0,0,7.2292,2
58,59,2,1,5.0,1,2,27.75,1
59,60,3,0,11.0,5,2,46.9,1
60,61,3,0,22.0,0,0,7.2292,2
61,62,1,1,38.0,0,0,80.0,0
62,63,1,0,45.0,1,0,83.475,1
63,64,3,0,4.0,3,2,27.9,1
64,65,1,0,29.0,0,0,27.7208,2
65,66,3,0,29.0,1,1,15.2458,2
66,67,2,1,29.0,0,0,10.5,1
67,68,3,0,19.0,0,0,8.1583,1
68,69,3,1,17.0,4,2,7.925,1
69,70,3,0,26.0,2,0,8.6625,1
70,71,2,0,32.0,0,0,10.5,1
71,72,3,1,16.0,5,2,46.9,1
72,73,2,0,21.0,0,0,73.5,1
73,74,3,0,26.0,1,0,14.4542,2
74,75,3,0,32.0,0,0,56.4958,1
75,76,3,0,25.0,0,0,7.65,1
76,77,3,0,29.0,0,0,7.8958,1
77,78,3,0,29.0,0,0,8.05,1
78,79,2,0,0.83,0,2,29.0,1
79,80,3,1,30.0,0,0,12.475,1
80,81,3,0,22.0,0,0,9.0,1
81,82,3,0,29.0,0,0,9.5,1
82,83,3,1,27.0,0,0,7.7875,3
83,84,1,0,28.0,0,0,47.1,1
