,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
407,408,2,0,3.0,1,1,18.75,1
176,177,3,0,29.0,3,1,25.4667,1
816,817,3,1,23.0,0,0,7.925,1
375,376,1,1,27.0,1,0,82.1708,2
151,152,1,1,22.0,1,0,66.6,1
657,658,3,1,32.0,1,1,15.5,3
358,359,3,1,27.0,0,0,7.8792,3
274,275,3,1,27.0,0,0,7.75,3
348,349,3,0,3.0,1,1,15.9,1
136,137,1,1,19.0,0,2,26.2833,1
343,344,2,0,25.0,0,0,13.0,1
537,538,1,1,30.0,0,0,106.425,2
68,69,3,1,17.0,4,2,7.925,1
200,201,3,0,28.0,0,0,9.5,1
235,236,3,1,27.0,0,0,7.55,1
781,782,1,1,17.0,1,0,57.0,1
655,656,2,0,24.0,2,0,73.5,1
775,776,3,0,18.0,0,0,7.75,1
769,770,3,0,32.0,0,0,8.3625,1
762,763,3,0,20.0,0,0,7.2292,2
135,136,2,0,23.0,0,0,15.0458,2
378,379,3,0,20.0,0,0,4.0125,2
673,674,2,0,31.0,0,0,13.0,1
575,576,3,0,19.0,0,0,14.5,1
835,836,1,1,39.0,1,1,83.1583,2
479,480,3,1,2.0,0,1,12.2875,1
106,107,3,1,21.0,0,0,7.65,1
767,768,3,1,30.5,0,0,7.75,3
844,845,3,0,17.0,0,0,8.6625,1
167,168,3,1,45.0,1,4,27.9,1
795,796,2,0,39.0,0,0,13.0,1
238,239,2,0,19.0,0,0,10.5,1
502,503,3,1,27.0,0,0,7.6292,3
107,108,3,0,29.0,0,0,7.775,1
209,210,1,0,40.0,0,0,31.0,2
61,62,1,1,38.0,0,0,80.0,0
196,197,3,0,29.0,0,0,7.75,3
81,82,3,0,29.0,0,0,9.5,1
371,372,3,0,18.0,1,0,6.4958,1
684,685,2,0,60.0,1,1,39.0,1
150,151,2,0,51.0,0,0,12.525,1
499,500,3,0,24.0,0,0,7.7958,1
7,8,3,0,2.0,3,1,21.075,1
736,737,3,1,48.0,1,3,34.375,1
34,35,1,0,28.0,1,0,82.1708,2
66,67,2,1,29.0,0,0,10.5,1
381,382,3,1,1.0,0,2,15.7417,2
223,224,3,0,29.0,0,0,7.8958,1
629,630,3,0,29.0,0,0,7.7333,3
337,338,1,1,41.0,0,0,134.5,2
419,420,3,1,10.0,0,2,24.15,1
467,468,1,0,56.0,0,0,26.55,1
481,482,2,0,29.0,0,0,0.0,1
753,754,3,0,23.0,0,0,7.8958,1
314,315,2,0,43.0,1,1,26.25,1
429,430,3,0,32.0,0,0,8.05,1
156,157,3,1,16.0,0,0,7.7333,3
570,571,2,0,62.0,0,0,10.5,1
122,123,2,0,32.5,1,0,30.0708,2
654,655,3,1,18.0,0,0,6.75,3
